频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率,帧率,音频,ffprobe探测时间
[SD]family ties,https://t.freetv.fun/live/family-ties.m3u8,,Nile Family,Egypt,Egypt,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613191131893280_64.png,Movies,426x240,freetv-fun-all.txt,12,403,成功,h264,426x240,30.0,有音频,1.494
[HD]btb music,https://t.freetv.fun/live/btb-music.m3u8,,Music tv,India,India,https://epg.pw/media/uploads/tmp_logo/2015/06/02/20150602170136873196_31.png,Entertainment,1600x900,freetv-fun-all.txt,18,403,成功,h264,1600x900,50.0,有音频,4.368
[SD]orf 1,https://t.freetv.fun/live/orf-1-1.m3u8,,ORF 1,Germany,Germany,https://epg.pw/media/images/channel/2022/05/06/large/20220506174414227466_49.png,News,720x576,freetv-fun-all.txt,18,403,成功,h264,720x576,25.0,有音频,2.848
[SD]hbo usa *s,https://t.freetv.fun/live/hbo-usa-s.m3u8,,HBO USA,United States,United States,https://epg.pw/media/images/channel/2023/07/20/large/20230720205301496306_92.png,Movies,960x540,freetv-fun-all.txt,289,403,成功,h264,960x540,29.97002997002997,有音频,1.811
[BD]rakuten tv comedy movies italy,https://t.freetv.fun/live/rakuten-tv-comedy-movies-italy.m3u8,,Comedy Movies HD,United States,United States,https://epg.pw/media/,Movies,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,25.0,有音频,8.198
[BD]cgtn纪录,https://t.freetv.fun/live/cgtnji-lu-1-1.m3u8,,CGTN(Spain),Spain,Spain,https://epg.pw/media/uploads/tmp_logo/2018/05/16/20180516070123835480_63.jpg,News,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,1.178
[HD]one,https://t.freetv.fun/live/one.m3u8,,ONE (Malay),Korea,Korea,https://epg.pw/media/img/logo/1_240.jpg,Other,1280x720,freetv-fun-all.txt,20,403,成功,h264,1280x720,25.0,有音频,1.113
[HD]ewtn africa-asia,https://t.freetv.fun/live/ewtn-africa-asia.m3u8,,EWTN Asia-Pacific,United States,United States,https://epg.pw/media/images/channel/2022/03/18/large/20220318090047293384_48.png,News,320x180,freetv-fun-all.txt,23,403,成功,h264,320x180,29.97002997002997,有音频,3.360
[HD]hmong tv network,https://t.freetv.fun/live/hmong-tv-network.m3u8,,FOX TV Network,United States,United States,https://epg.pw/media/uploads/tmp_logo/2014/05/28/20140528160602880583_13.png,Generic,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,29.97002997002997,有音频,1.236
[HD]the pet collective international,https://t.freetv.fun/live/the-pet-collective-international-1.m3u8,,LBC International,Lebanon,Lebanon,https://epg.pw/media/images/channel/2022/05/06/large/20220506174912035196_59.png,Generic,1280x720,freetv-fun-all.txt,19,403,成功,h264,1280x720,29.97002997002997,有音频,3.235
[BD]nhk world *4g,https://t.freetv.fun/live/nhk-world-4g.m3u8,,NHK World FHD,Japan,Japan,https://epg.pw/media/images/channel/2022/05/13/large/20220513225311089225_30.jpg,Generic,1920x1080,freetv-fun-all.txt,22,403,成功,h264,1920x1080,30.0,有音频,4.366
[BD]france 24,https://t.freetv.fun/live/france-24.m3u8,,France 24 (French),France,France,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104841185612_92.png,News,1920x1080,freetv-fun-all.txt,18,403,成功,h264,1920x1080,25.0,有音频,1.569
[BD]ric,https://t.freetv.fun/live/ric.m3u8,,RiC TV,Germany,Germany,https://epg.pw/media/images/channel/2021/10/16/large/20211016152214613771_55.png,Kids,1920x1080,freetv-fun-all.txt,21,403,成功,h264,1920x1080,25.0,有音频,5.469
