频道名,地址,回播地址,回播类型,回播天数,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226671/10000100000000060000000004141140_0.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,重庆卫视,重庆卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/重庆/重庆卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226842/397438339.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,四川卫视,四川卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/四川/四川卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226215/10000100000000060000000003301175_0.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,江西卫视,江西卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/江西/江西卫视2.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000037/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227129/410142845.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,河南卫视,河南卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/河南/河南卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227129/410142845.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,河南卫视,河南卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/河南/河南卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226217/10000100000000060000000003301180_0.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,河北卫视,河北卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/河北/河北卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226213/10000100000000060000000003301172_0.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,贵州卫视,贵州卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/贵州/贵州卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221226845/397438344.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,海南卫视,海南卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/海南/海南卫视3.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8,rtsp://150.138.8.132/PLTV/88888888/224/3221227214/438782489.smil?playseek=${(b)yyyyMMddHHmmss}-${(e)yyyyMMddHHmmss},default,7,广西卫视,广西卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/广西/广西卫视2.png,⭐ 卫视频道,1920x1080,2sddxdb.m3u
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000038/index.m3u8,,none,0,广西卫视,广西卫视,,,https://gh.llkk.cc/https://raw.githubusercontent.com/sumingyd/IPTV-Scanner-Editor-Pro/main/logo/广西/广西卫视2.png,⭐ 卫视频道,720x576,2sddxdb.m3u
