频道名,地址,跳过原因
CCTV-1 ç»¼åˆ,http://192.168.50.1:20231/rtp/239.21.1.1:5002?fcc=150.138.8.132:8027,重复URL
CCTV-2 è´¢ç»,http://192.168.50.1:20231/rtp/239.21.1.151:5002?fcc=150.138.8.132:8027,重复URL
CCTV-3 ç»¼è‰º,http://192.168.50.1:20231/rtp/239.21.2.45:5002?fcc=150.138.8.132:8027,重复URL
CCTV-4 ä¸­æ–‡,http://192.168.50.1:20231/rtp/239.21.1.154:5002?fcc=150.138.8.132:8027,重复URL
CCTV-5 ä½“è‚²,http://192.168.50.1:20231/rtp/239.21.2.46:5002?fcc=150.138.8.132:8027,重复URL
CCTV-5+ ä½“è‚²èµ›äº‹,http://192.168.50.1:20231/rtp/239.21.1.142:5002?fcc=150.138.8.132:8027,重复URL
CCTV-6 ç”µå½±,http://192.168.50.1:20231/rtp/239.21.2.47:5002?fcc=150.138.8.132:8027,重复URL
CCTV-7 å›½é˜²å†›äº‹,http://192.168.50.1:20231/rtp/239.21.1.152:5002?fcc=150.138.8.132:8027,重复URL
CCTV-8 ç”µè§†å‰§,http://192.168.50.1:20231/rtp/239.21.2.48:5002?fcc=150.138.8.132:8027,重复URL
CCTV-9 çºªå½•,http://192.168.50.1:20231/rtp/239.21.1.153:5002?fcc=150.138.8.132:8027,重复URL
CCTV-10 ç§‘æ•™,http://192.168.50.1:20231/rtp/239.21.1.155:5002?fcc=150.138.8.132:8027,重复URL
CCTV-11 æˆæ›²,http://192.168.50.1:20231/rtp/239.21.2.2:5002?fcc=150.138.8.132:8027,重复URL
CCTV-12 ç¤¾ä¼šä¸æ³•,http://192.168.50.1:20231/rtp/239.21.1.156:5002?fcc=150.138.8.132:8027,重复URL
CCTV-13 æ–°é—»,http://192.168.50.1:20231/rtp/239.21.2.3:5002?fcc=150.138.8.132:8027,重复URL
CCTV-14 å°‘å„¿,http://192.168.50.1:20231/rtp/239.21.1.157:5002?fcc=150.138.8.132:8027,重复URL
CCTV-15 éŸ³ä¹,http://192.168.50.1:20231/rtp/239.21.2.4:5002?fcc=150.138.8.132:8027,重复URL
CCTV-17 å†œä¸šå†œæ‘,http://192.168.50.1:20231/rtp/239.21.1.186:5002?fcc=150.138.8.132:8027,重复URL
æ¹–å—å«è§†,http://192.168.50.1:20231/rtp/239.21.1.158:5002?fcc=150.138.8.132:8027,重复URL
æµ™æ±Ÿå«è§†,http://192.168.50.1:20231/rtp/239.21.1.90:5002?fcc=150.138.8.132:8027,重复URL
